payment_id,booking_id,gateway_id,transaction_amount,transaction_datetime,status,failure_reason,credit_card_name,credit_card_number,expiry_date,cvv
1,1,2,1000,2025-03-11 11:41:49,Success,,Mr. Jason Garcia,2414758245509533,12/30,174
2,2,3,839,2025-02-13 02:15:05,Success,,Claudia Thomas,6011489442214549,02/30,937
3,3,1,1140,2025-01-24 12:53:05,Success,,Jennifer Farrell,6011734401856172,10/29,345
4,4,1,800,2025-03-24 21:08:53,Failed,Timeout,,3521446214261942,,222
5,5,1,200,2025-02-17 06:42:36,Success,,Penny Harris,38807710824032,06/34,827
6,6,3,699,2025-03-03 05:42:28,Failed,Timeout,Brandon Lewis,341277419920162,04/26,064
7,7,2,1000,2025-03-14 03:33:48,Success,,Adam George,502025174835,03/28,346
8,8,3,800,2025-01-30 08:53:59,Success,,Christopher Bell,6011791414688166,07/30,874
9,9,1,1488,2025-03-17 06:01:33,Success,,Danielle Hudson,6508145616100712,11/28,885
10,10,2,600,2025-03-15 16:11:15,Success,,Kimberly Herring,6566527710199907,05/26,172
11,11,1,636,2025-03-24 04:24:24,Success,,Paul Ware,213198922142331,11/34,976
12,12,1,818,2025-02-19 23:25:35,Success,,Carolyn Cox,3508601633130857,09/32,712
13,13,1,898,2025-02-16 12:03:30,Success,,Glenn Johnson,4630310658149899072,06/31,994
14,14,2,810,2025-03-17 02:36:56,Success,,Kaylee Anderson,3503091416307622,01/27,977
15,15,1,503,2025-02-03 10:06:35,Success,,Alicia Kirk,4439017070992,,423
16,16,1,400,2025-01-27 21:36:30,Success,,Ariel Thomas,,02/26,588
17,17,3,683,2025-03-10 20:29:54,Success,,Dustin Moss,4206673179002533773,09/31,006
18,18,2,1202,2025-02-26 05:08:27,Success,,Mary Holt,30505347121784,,
19,19,2,986,2025-03-12 22:38:16,Success,,Samantha Spencer,676209257291,03/33,518
20,20,1,200,2025-03-17 10:47:18,Success,,Michelle Howell,4123792898765,11/30,808
21,21,3,400,2025-03-19 12:50:47,Failed,Network error,Amanda Obrien,213144375372116,,905
22,22,2,328,2025-03-15 20:17:11,Failed,Timeout,Monica Pena,2580471571331377,,981
