review_id,movie_id,content,review_date,reviewer_name,rating
1,1,Disappointing. World artist heavy write year.,2025-03-02 23:06:27,Randy Moon,2
2,1,"Decent, but forgettable. Voice degree why wonder kitchen.",2025-02-21 02:54:29,Maurice Adkins,3
3,1,Disappointing. Heavy fact of may.,2025-02-21 15:03:32,Linda Stephens,2
4,1,Really enjoyed it! Technology author why how.,2025-02-15 10:02:18,Dr. Jeffrey Martinez,4
5,1,"Decent, but forgettable. Realize age box single matter author design.",2025-02-08 21:20:20,Julie Oneill,3
6,1,Worst movie I've seen this year. Section item occur yourself.,2025-02-19 22:53:09,Donna Smith,1
7,1,Disappointing. Sea quickly think exist lead.,2025-02-08 15:10:09,Kelly Stewart,2
8,1,Masterpiece! Agency enjoy really through Mr.,2025-02-12 01:13:19,Kim Wagner,5
9,1,Really enjoyed it! Contain will finally or budget.,2025-02-15 20:22:17,Susan Lee,4
10,1,Worst movie I've seen this year. Ready watch stay state more make else.,2025-02-28 00:40:15,Peter Phillips,1
11,1,Disappointing. Respond relationship road difference like test.,2025-02-10 09:15:45,John Jones,2
12,1,Average movie. Six within behind care.,2025-02-19 21:55:14,Dawn Stuart,3
13,1,Average movie. Test place point loss factor effect.,2025-02-24 19:53:39,Taylor Riddle,3
14,1,"Decent, but forgettable. Eight ok into.",2025-02-07 21:41:11,Joseph Porter,3
15,1,Could have been better. Beautiful deal major interest.,2025-03-03 13:29:00,Sara Becker,2
16,1,Really enjoyed it! Often least wall lot.,2025-02-13 20:17:39,Lisa Smith,4
17,1,Waste of time and money. Might yes ever pressure.,2025-02-25 05:55:48,Heather Gray,1
18,1,Best movie I've seen in years! Make matter expect someone such feel toward.,2025-02-15 01:05:11,Rachael Walter DDS,5
19,1,"Decent, but forgettable. Media nature our who not.",2025-02-20 15:40:42,John Cantrell,3
20,1,Disappointing. Some similar contain opportunity.,2025-02-24 19:44:44,Curtis Morales,2
21,1,Terrible movie! Same suddenly low chair station.,2025-02-28 17:18:26,Phyllis Martin,1
22,1,Masterpiece! Stock another whom debate.,2025-02-10 19:19:02,Angela Garcia,5
23,1,Would recommend to friends. Structure various price.,2025-02-19 16:11:00,Kristin Harrington,4
24,1,Could have been better. Manager fall ability many behind happen.,2025-02-24 14:51:55,Kelli Wells,2
25,1,Great movie with some minor flaws. Probably stuff anyone somebody success deep.,2025-02-23 09:24:46,Kerri Spencer,4
26,1,Average movie. Local even do need build level.,2025-02-20 17:02:53,Molly Frost,3
27,1,"Decent, but forgettable. Maybe science during behavior.",2025-02-06 07:59:47,Daniel Lee,3
28,1,Waste of time and money. Subject visit can man high risk capital.,2025-02-22 01:23:23,Jackie Collier,1
29,1,Disappointing. Week doctor from yard oil.,2025-03-02 20:25:22,Gloria Cooper,2
30,1,"Decent, but forgettable. Newspaper much of sell keep number.",2025-02-08 00:21:22,Margaret Blanchard,3
31,1,Absolutely amazing! Similar discuss indicate friend church others star.,2025-02-19 20:19:43,Katherine Reese,5
32,1,Disappointing. Look position support candidate job.,2025-02-18 21:22:00,Peter Campbell,2
33,1,Disappointing. Politics budget part letter level activity.,2025-02-05 13:13:51,Christine Newman,2
34,1,"Decent, but forgettable. History throw future fear might.",2025-02-14 15:45:22,Kimberly Reyes,3
35,1,Not worth the ticket price. Himself yeah hard politics protect modern hit.,2025-02-17 05:03:57,Laura Allen MD,2
36,2,Great movie with some minor flaws. Authority bit according fast attention conference relationship phone.,2025-02-10 13:30:41,Becky Leblanc,4
37,2,Could have been better. Often and lay fire ok.,2025-02-19 19:00:37,Lynn Jones,2
38,2,"Decent, but forgettable. Whether player from center light senior front experience.",2025-02-23 11:27:14,Ryan Alexander,3
39,2,"Decent, but forgettable. Foot current push beautiful.",2025-02-16 11:00:06,Judy Vargas,3
40,2,Would recommend to friends. Despite must reveal nature cost prevent reflect way.,2025-03-06 15:27:00,Mario Dawson,4
